ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6500617,HP575961,09/16/2008 10:30:00 PM,059XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CONVENIENCE STORE,true,false,0233,002,20,40,18,1177289,1865734,2008,02/28/2018 03:56:25 PM,41.78690669,-87.625500912,(41.78690669, -87.625500912)
8660764,HV335607,06/14/2012 02:00:00 PM,024XX W BLOOMINGDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1434,014,1,22,14,1159623,1911902,2012,02/04/2016 06:33:39 AM,41.913977434,-87.689004042,(41.913977434, -87.689004042)
2643757,HJ255065,03/23/2003 06:00:00 AM,013XX N WELLS ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1821,018,43,8,26,1174455,1909496,2003,02/28/2018 03:56:25 PM,41.907056567,-87.634586291,(41.907056567, -87.634586291)
3256269,HK281540,04/04/2004 11:00:00 AM,031XX W 59TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,false,false,0824,008,14,63,07,1156552,1865343,2004,02/28/2018 03:56:25 PM,41.786277047,-87.701544832,(41.786277047, -87.701544832)
5972750,HN746125,12/06/2007 10:28:00 PM,114XX S CALUMET AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,SIDEWALK,false,false,0531,005,9,49,15,1180618,1829242,2007,02/28/2018 03:56:25 PM,41.686692491,-87.614412782,(41.686692491, -87.614412782)
1579307,G343635,06/13/2001 06:15:00 PM,030XX W LAWRENCE AV,0320,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,false,false,1713,017,,,03,1155339,1931695,2001,08/17/2015 03:03:40 PM,41.968378066,-87.704209071,(41.968378066, -87.704209071)
6843596,HR249216,04/03/2009 09:00:00 AM,009XX E 54TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,2131,002,4,41,08B,1183580,1869801,2009,02/28/2018 03:56:25 PM,41.797922443,-87.602308153,(41.797922443, -87.602308153)
10821209,JA121786,01/19/2017 02:29:00 PM,011XX W 61ST ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0712,007,16,68,26,1169881,1864349,2017,02/14/2017 03:49:42 PM,41.783270233,-87.652702765,(41.783270233, -87.652702765)
8241853,HT475209,08/31/2011 06:30:00 PM,011XX E 45TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2123,002,4,39,05,1184496,1875398,2011,02/10/2018 03:50:01 PM,41.813259609,-87.59877365,(41.813259609, -87.59877365)
4618809,HM215499,03/05/2006 07:47:00 PM,048XX S JUSTINE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0931,009,20,61,04A,1166822,1872618,2006,02/28/2018 03:56:25 PM,41.806027252,-87.663681923,(41.806027252, -87.663681923)
4543655,HM131642,01/18/2006 09:35:00 AM,017XX W 105TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,VEHICLE NON-COMMERCIAL,true,false,2212,022,19,72,26,1166560,1834701,2006,02/28/2018 03:56:25 PM,41.70198332,-87.665721969,(41.70198332, -87.665721969)
4392745,HL624365,09/20/2005 03:40:00 PM,0000X S CALIFORNIA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1124,011,2,27,18,1157733,1899774,2005,02/28/2018 03:56:25 PM,41.880735894,-87.696278427,(41.880735894, -87.696278427)
2740730,HJ376787,05/20/2003 10:00:00 PM,025XX W 115TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2212,022,19,75,07,1161678,1828293,2003,02/28/2018 03:56:25 PM,41.684501086,-87.683775465,(41.684501086, -87.683775465)
4023878,HL379369,05/25/2005 11:00:00 PM,003XX E 75TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT/GARAGE(NON.RESID.),true,false,0623,006,6,69,26,1179556,1855352,2005,02/28/2018 03:56:25 PM,41.758365901,-87.617505767,(41.758365901, -87.617505767)
4539474,HM123898,01/14/2006 11:35:21 AM,074XX S NORMAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0732,007,17,68,08B,1174252,1855524,2006,02/28/2018 03:56:25 PM,41.758957356,-87.636939265,(41.758957356, -87.636939265)
7603069,HS407655,07/12/2010 09:00:00 PM,021XX E 70TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,false,false,0331,003,5,43,11,1191505,1858968,2010,02/10/2018 03:50:01 PM,41.76800731,-87.573597337,(41.76800731, -87.573597337)
9205415,HW351210,07/06/2013 07:00:00 PM,048XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,2031,020,47,4,06,1159484,1932322,2013,02/10/2018 03:50:01 PM,41.970014053,-87.688950759,(41.970014053, -87.688950759)
6357436,HP443216,07/09/2008 07:00:00 PM,019XX W BIRCHWOOD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2424,024,49,1,03,1162329,1949797,2008,02/28/2018 03:56:25 PM,42.017906809,-87.677997845,(42.017906809, -87.677997845)
7330616,HS133661,01/23/2010 12:41:32 PM,045XX N PAULINA ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1922,019,47,3,08A,1164410,1930187,2010,02/10/2018 03:50:01 PM,41.96405243,-87.670898383,(41.96405243, -87.670898383)
4473185,HL772883,12/05/2005 07:00:00 AM,049XX S DREXEL BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2124,002,4,39,26,1183147,1872548,2005,02/28/2018 03:56:25 PM,41.805470526,-87.603810519,(41.805470526, -87.603810519)
3747201,HK745678,11/11/2004 10:49:25 PM,089XX S HOUSTON AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,true,false,0424,004,10,46,18,1198076,1846225,2004,02/28/2018 03:56:25 PM,41.732877818,-87.549937399,(41.732877818, -87.549937399)
8622354,HV295645,05/20/2012 09:45:00 PM,074XX S BLACKSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0324,003,5,43,08B,1187489,1856115,2012,02/04/2016 06:33:39 AM,41.760274825,-87.588408167,(41.760274825, -87.588408167)
9820509,HX469944,08/01/2014 10:00:00 PM,064XX N FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2412,024,50,2,08B,1155829,1942667,2014,02/10/2018 03:50:01 PM,41.99847589,-87.702110041,(41.99847589, -87.702110041)
7735482,HS542671,10/01/2010 10:00:00 AM,056XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,false,false,0713,007,16,67,14,1168289,1867385,2010,02/10/2018 03:50:01 PM,41.791635813,-87.658452194,(41.791635813, -87.658452194)
1917408,G779689,12/31/2001 06:00:00 PM,073XX S KEDZIE AV,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,0835,008,,,05,1156404,1855653,2001,08/17/2015 03:03:40 PM,41.759689213,-87.702348147,(41.759689213, -87.702348147)
8846323,HV519648,10/15/2012 03:25:00 PM,010XX W 13TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",false,false,1232,012,2,28,08B,1169344,1894311,2012,02/10/2018 03:50:01 PM,41.865500587,-87.65380275,(41.865500587, -87.65380275)
1539517,G283177,05/16/2001 08:45:00 PM,029XX N KENNETH AV,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,true,2523,025,,,04A,1146234,1919541,2001,08/17/2015 03:03:40 PM,41.935205065,-87.737998392,(41.935205065, -87.737998392)
1891101,G694760,11/18/2001 08:30:32 PM,020XX N ST LOUIS AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1413,014,,,18,1152898,1913301,2001,08/17/2015 03:03:40 PM,41.917952392,-87.713673474,(41.917952392, -87.713673474)
2544620,HJ125482,01/14/2003 12:00:00 PM,061XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0825,008,15,66,07,1161427,1863804,2003,02/28/2018 03:56:25 PM,41.781954133,-87.683713146,(41.781954133, -87.683713146)
1966949,HH152604,01/27/2002 11:30:00 PM,0000X E CULLERTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0132,001,,,18,1177228,1890722,2002,02/10/2018 03:50:01 PM,41.855477243,-87.62496923,(41.855477243, -87.62496923)
10668451,HZ419517,09/03/2016 09:55:00 PM,015XX S TRUMBULL AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1021,010,24,29,26,1153621,1892199,2016,02/10/2018 03:50:01 PM,41.860032038,-87.711578892,(41.860032038, -87.711578892)
7823783,HS633072,11/26/2010 02:15:00 AM,001XX N KEELER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1114,011,28,26,14,1148373,1900375,2010,02/10/2018 03:50:01 PM,41.88257062,-87.730632328,(41.88257062, -87.730632328)
6179188,HP267188,04/06/2008 10:00:00 AM,027XX W CORTEZ ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1311,012,1,24,11,1157956,1906873,2008,02/28/2018 03:56:25 PM,41.900211646,-87.695265748,(41.900211646, -87.695265748)
2346431,HH646648,09/13/2002 09:00:00 PM,101XX S PERRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0511,005,9,49,14,1177389,1837671,2002,02/10/2018 03:50:01 PM,41.709896215,-87.625980137,(41.709896215, -87.625980137)
5008122,HM616704,09/22/2006 03:32:05 PM,056XX S MARSHFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,true,false,0715,007,15,67,04A,1166306,1867238,2006,02/10/2018 03:50:01 PM,41.791274914,-87.665727671,(41.791274914, -87.665727671)
9632686,HX283530,05/31/2014 05:30:00 AM,079XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0621,006,17,71,08B,1172682,1852139,2014,02/10/2018 03:50:01 PM,41.749703221,-87.642792788,(41.749703221, -87.642792788)
5060967,HM663380,10/16/2006 01:00:00 PM,044XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,2313,019,46,3,06,1168802,1929841,2006,02/10/2018 03:50:01 PM,41.963008684,-87.654760481,(41.963008684, -87.654760481)
3292181,HK284132,04/05/2004 04:30:00 PM,029XX S DEARBORN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2113,001,3,35,18,1176406,1885545,2004,02/28/2018 03:56:25 PM,41.841289747,-87.628142362,(41.841289747, -87.628142362)
10725324,HZ483962,10/21/2016 10:30:00 PM,062XX S ARTESIAN AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,0825,008,15,66,08B,1161111,1863197,2016,02/10/2018 03:50:01 PM,41.780294987,-87.684888472,(41.780294987, -87.684888472)
2651508,HJ261181,03/26/2003 09:27:44 AM,106XX S LA SALLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,0512,005,34,49,08B,1177157,1834468,2003,02/28/2018 03:56:25 PM,41.701111959,-87.626925972,(41.701111959, -87.626925972)
2250197,HH527208,07/21/2002 12:01:00 AM,063XX S TRIPP AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0813,008,13,65,14,1149122,1862443,2002,02/28/2018 03:56:25 PM,41.778465574,-87.728862044,(41.778465574, -87.728862044)
8968877,HW116979,01/14/2013 02:45:00 PM,021XX E 71ST ST,0560,ASSAULT,SIMPLE,SIDEWALK,true,false,0333,003,5,43,08A,1191564,1858275,2013,02/10/2018 03:50:01 PM,41.766104234,-87.573403521,(41.766104234, -87.573403521)
4560638,HM149271,01/28/2006 04:00:00 AM,061XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0712,007,16,68,08B,1170698,1864063,2006,02/28/2018 03:56:25 PM,41.78246763,-87.649715713,(41.78246763, -87.649715713)
2630697,HJ238079,03/14/2003 06:30:00 PM,019XX W MADISON ST,1330,CRIMINAL TRESPASS,TO LAND,SPORTS ARENA/STADIUM,true,false,1211,012,27,28,26,1163655,1900042,2003,02/28/2018 03:56:25 PM,41.881348623,-87.674525788,(41.881348623, -87.674525788)
9870071,HX520504,11/25/2014 06:55:00 PM,082XX S DREXEL AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,0631,006,8,44,24,1183666,1850650,2014,02/10/2018 03:50:01 PM,41.745368292,-87.602589491,(41.745368292, -87.602589491)
3238622,HK260013,03/24/2004 06:35:00 PM,016XX W 47TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0931,009,20,61,04B,1165982,1873545,2004,02/10/2018 03:50:01 PM,41.808588965,-87.666736367,(41.808588965, -87.666736367)
3758541,HL130580,01/17/2005 07:30:00 PM,089XX S STONY ISLAND AVE,0810,THEFT,OVER $500,STREET,false,false,0413,004,8,48,06,1188353,1846118,2005,02/28/2018 03:56:25 PM,41.732821527,-87.585560041,(41.732821527, -87.585560041)
9187887,HW332988,06/24/2013 01:00:00 AM,004XX N STATE ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1831,018,42,8,06,1176292,1903437,2013,02/10/2018 03:50:01 PM,41.890389116,-87.628021263,(41.890389116, -87.628021263)
7604338,HS408803,07/11/2010 11:00:00 AM,017XX W 80TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0611,006,21,71,08B,1166177,1851647,2010,02/10/2018 03:50:01 PM,41.748493893,-87.666643834,(41.748493893, -87.666643834)
9616908,HX266652,05/18/2014 01:56:00 PM,103XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0512,005,9,49,06,1178964,1836624,2014,02/04/2016 06:33:39 AM,41.706987456,-87.620244029,(41.706987456, -87.620244029)
5482409,HN304984,10/01/2004 12:00:00 AM,026XX W NORTH AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,SIDEWALK,false,false,1423,014,26,24,06,,,2004,08/17/2015 03:03:40 PM,,,
1741931,G549620,09/12/2001 05:15:00 PM,017XX W FARWELL AV,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,2424,024,,,14,1163189,1945620,2001,08/17/2015 03:03:40 PM,42.006426922,-87.674951439,(42.006426922, -87.674951439)
3458945,HK528147,07/31/2004 05:46:49 PM,022XX W PERSHING RD,0560,ASSAULT,SIMPLE,PARK PROPERTY,false,false,0913,009,11,59,08A,1162169,1878783,2004,02/28/2018 03:56:25 PM,41.823042962,-87.68057571,(41.823042962, -87.68057571)
4991789,HM597893,09/12/2006 10:30:00 PM,069XX S MORGAN ST,0560,ASSAULT,SIMPLE,STREET,false,false,0733,007,17,68,08A,1170840,1858905,2006,02/10/2018 03:50:01 PM,41.76831036,-87.649345507,(41.76831036, -87.649345507)
7819370,HS629683,11/23/2010 03:55:00 PM,032XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0924,009,11,60,14,1169181,1883183,2010,02/04/2016 06:33:39 AM,41.834967924,-87.654723953,(41.834967924, -87.654723953)
2570085,HJ157630,01/31/2003 04:00:00 PM,063XX N NAGLE AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1611,016,41,10,06,1132627,1941632,2003,02/28/2018 03:56:25 PM,41.996073378,-87.78748829,(41.996073378, -87.78748829)
3527018,HK599559,09/03/2004 09:58:11 AM,031XX W TAYLOR ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,1134,011,24,27,04A,1155681,1895539,2004,02/28/2018 03:56:25 PM,41.869156171,-87.703927262,(41.869156171, -87.703927262)
10581015,HZ330042,06/30/2016 03:00:00 PM,072XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,true,0323,003,6,69,14,1182150,1857075,2016,02/10/2018 03:50:01 PM,41.763034366,-87.607945826,(41.763034366, -87.607945826)
8352093,HT584578,11/11/2011 05:30:00 AM,066XX S MARSHFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0725,007,15,67,14,1166467,1860770,2011,02/04/2016 06:33:39 AM,41.773522476,-87.665321568,(41.773522476, -87.665321568)
6047580,HP140445,01/23/2008 03:00:00 PM,059XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0712,007,16,68,08B,1169996,1865514,2008,02/10/2018 03:50:01 PM,41.786464631,-87.652247304,(41.786464631, -87.652247304)
10157105,HY346378,07/18/2015 11:48:00 PM,051XX S PRAIRIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0231,002,3,40,18,1178911,1871056,2015,02/10/2018 03:50:01 PM,41.801473959,-87.619391775,(41.801473959, -87.619391775)
4248022,HL568764,08/18/2005 07:30:00 PM,001XX N WELLS ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0113,001,42,32,06,1174702,1901555,2005,02/28/2018 03:56:25 PM,41.885260516,-87.633916764,(41.885260516, -87.633916764)
9742204,HX392372,08/18/2014 10:20:00 AM,003XX S PLYMOUTH CT,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0113,001,2,32,06,1176135,1898807,2014,02/10/2018 03:50:01 PM,41.877687677,-87.628737441,(41.877687677, -87.628737441)
4456531,HL753344,11/24/2005 05:45:00 AM,100XX W OHARE ST,0810,THEFT,OVER $500,AIRPORT/AIRCRAFT,false,false,1651,016,41,76,06,1100658,1934241,2005,02/10/2018 03:50:01 PM,41.976290414,-87.905227221,(41.976290414, -87.905227221)
5558730,HN367547,05/27/2007 03:10:43 AM,024XX N LONG AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2515,025,30,19,18,1139978,1915632,2007,02/28/2018 03:56:25 PM,41.924595268,-87.761085632,(41.924595268, -87.761085632)
4409717,HL703145,10/29/2005 04:55:00 PM,024XX W 111TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,false,false,2212,022,19,75,04A,1162166,1830950,2005,02/10/2018 03:50:01 PM,41.691782262,-87.681915474,(41.691782262, -87.681915474)
1597786,G367213,06/24/2001 06:00:00 AM,118XX S PARNELL AV,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0524,005,,,14,1174811,1826222,2001,08/17/2015 03:03:40 PM,41.678536156,-87.635760696,(41.678536156, -87.635760696)
9992993,HY182763,03/13/2015 11:00:00 AM,061XX S WOOD ST,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE-GARAGE,true,false,0714,007,15,67,26,1165402,1863938,2015,02/10/2018 03:50:01 PM,41.782238514,-87.669135932,(41.782238514, -87.669135932)
1911602,G763750,12/22/2001 12:00:37 PM,048XX W HUBBARD ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1532,015,,,18,1143755,1902605,2001,08/17/2015 03:03:40 PM,41.888777751,-87.74753402,(41.888777751, -87.74753402)
2584420,HJ165183,02/04/2003 03:47:34 PM,059XX S UNION AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0711,007,20,68,18,1172648,1865575,2003,02/28/2018 03:56:25 PM,41.786573963,-87.642521936,(41.786573963, -87.642521936)
4996274,HM599710,09/13/2006 09:00:00 PM,005XX E BROWNING AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,0212,002,4,35,26,1180760,1881423,2006,02/28/2018 03:56:25 PM,41.829879483,-87.612291851,(41.829879483, -87.612291851)
1824586,G656093,10/31/2001 05:30:00 PM,013XX N WOLCOTT AV,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1424,014,,,08A,1163548,1908928,2001,08/17/2015 03:03:40 PM,41.905734751,-87.674668204,(41.905734751, -87.674668204)
1668442,G459150,08/01/2001 10:00:00 PM,005XX W MONROE ST,0820,THEFT,$500 AND UNDER,BANK,false,false,0111,001,,,06,1172840,1899791,2001,08/17/2015 03:03:40 PM,41.880461428,-87.640806568,(41.880461428, -87.640806568)
9090134,HW234660,04/12/2013 05:30:00 PM,034XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1924,019,44,6,06,1168992,1923193,2013,02/10/2018 03:50:01 PM,41.944762193,-87.654255601,(41.944762193, -87.654255601)
11284755,JB223174,04/13/2018 06:00:00 PM,061XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0825,008,15,66,06,1161426,1863818,2018,05/04/2018 03:51:04 PM,41.781992571,-87.683716425,(41.781992571, -87.683716425)
4791099,HM266393,04/01/2006 08:33:00 PM,035XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1123,011,28,27,16,1152856,1899790,2006,02/28/2018 03:56:25 PM,41.880877745,-87.714186035,(41.880877745, -87.714186035)
8744767,HV419911,08/07/2012 01:20:00 PM,009XX N HOMAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,true,1121,011,27,23,06,1153530,1906269,2012,02/10/2018 03:50:01 PM,41.898643394,-87.711538747,(41.898643394, -87.711538747)
2715120,HJ343030,05/05/2003 12:00:00 PM,034XX W ROOSEVELT RD,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,1021,010,24,29,06,1153720,1894499,2003,02/28/2018 03:56:25 PM,41.866341527,-87.711154301,(41.866341527, -87.711154301)
5542572,HN348464,05/17/2007 07:00:00 AM,063XX S SANGAMON ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0723,007,16,68,07,1171068,1862678,2007,02/28/2018 03:56:25 PM,41.778658948,-87.648399635,(41.778658948, -87.648399635)
9284883,HW429134,08/28/2013 09:30:00 AM,028XX N MILWAUKEE AVE,3960,INTIMIDATION,INTIMIDATION,SIDEWALK,false,false,1412,014,35,21,26,1153217,1918448,2013,02/10/2018 03:50:01 PM,41.932069855,-87.712364501,(41.932069855, -87.712364501)
3196649,HK205188,02/25/2004 01:40:00 PM,017XX W SUPERIOR ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1324,012,1,24,03,1164704,1905063,2004,02/28/2018 03:56:25 PM,41.895104477,-87.670531511,(41.895104477, -87.670531511)
11246843,JB173355,03/04/2018 01:02:00 PM,020XX W VAN BUREN ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,SIDEWALK,true,false,1225,012,2,28,26,1162713,1898158,2018,05/04/2018 03:51:04 PM,41.876198555,-87.678037584,(41.876198555, -87.678037584)
7524042,HS118426,01/13/2010 02:15:00 PM,063XX S MAY ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,APARTMENT,true,false,0724,007,16,68,18,1169740,1862733,2010,02/10/2018 03:50:01 PM,41.778838798,-87.653266576,(41.778838798, -87.653266576)
10821867,JA122630,01/20/2017 08:00:00 AM,040XX W POTOMAC AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2534,025,27,23,08B,1148980,1908351,2017,02/10/2018 03:50:01 PM,41.904445891,-87.728196827,(41.904445891, -87.728196827)
5953960,HN751680,12/10/2007 12:55:00 PM,061XX S BISHOP ST,0810,THEFT,OVER $500,STREET,false,false,0713,007,16,67,06,1167716,1864127,2007,02/10/2018 03:50:01 PM,41.782707791,-87.660646744,(41.782707791, -87.660646744)
2605421,HJ149058,01/26/2003 09:00:00 PM,026XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1411,014,35,22,14,1155257,1917416,2003,02/28/2018 03:56:25 PM,41.92919718,-87.704895549,(41.92919718, -87.704895549)
4391090,HL680563,10/18/2005 01:00:00 PM,067XX S BELL AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0832,008,17,66,08A,1162559,1859974,2005,02/10/2018 03:50:01 PM,41.771420547,-87.679669656,(41.771420547, -87.679669656)
10017985,HY207335,04/02/2015 12:01:00 AM,065XX N AVONDALE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY,false,false,1612,016,41,9,14,1125156,1942906,2015,02/10/2018 03:50:01 PM,41.999696749,-87.814942902,(41.999696749, -87.814942902)
7702652,HS509731,09/10/2010 08:30:00 PM,014XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,1424,014,1,24,14,1163648,1909877,2010,02/10/2018 03:50:01 PM,41.908336767,-87.674274086,(41.908336767, -87.674274086)
10360986,HY552514,12/28/2015 11:00:00 AM,029XX S PRINCETON AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0914,009,11,34,08B,1174767,1885307,2015,02/10/2018 03:50:01 PM,41.840673426,-87.634163984,(41.840673426, -87.634163984)
5672031,HN483356,07/23/2007 12:30:00 AM,004XX E RANDOLPH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0124,001,42,32,14,1179325,1901333,2007,02/28/2018 03:56:25 PM,41.884546689,-87.616947314,(41.884546689, -87.616947314)
8683882,HV358848,06/29/2012 03:40:00 PM,061XX S DR MARTIN LUTHER KING JR DR,1661,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,true,false,0311,003,20,40,19,1179974,1864409,2012,02/04/2016 06:33:39 AM,41.783209684,-87.615696882,(41.783209684, -87.615696882)
11002522,JA330283,07/01/2017 02:25:00 PM,017XX W 100TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,2213,022,19,72,08B,1166471,1838376,2017,02/10/2018 03:50:01 PM,41.712070009,-87.66594357,(41.712070009, -87.66594357)
10987567,JA314033,06/18/2017 06:00:00 AM,016XX N CICERO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GAS STATION,false,false,2533,025,37,25,11,1144089,1910289,2017,02/10/2018 03:50:01 PM,41.909857246,-87.746114281,(41.909857246, -87.746114281)
10625289,HZ377743,08/03/2016 05:00:00 PM,019XX S DAMEN AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1234,012,25,31,08A,1163341,1890701,2016,02/10/2018 03:50:01 PM,41.855722684,-87.675941451,(41.855722684, -87.675941451)
11353013,JB313731,06/12/2018 11:30:00 PM,018XX S AVERS AVE,3960,INTIMIDATION,INTIMIDATION,STREET,false,false,1014,010,24,29,26,1151029,1890763,2018,07/03/2018 03:53:07 PM,41.856142597,-87.721131081,(41.856142597, -87.721131081)
4210255,HL539365,08/09/2005 11:37:00 PM,026XX W SUMMERDALE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2011,020,40,4,26,1157728,1935431,2005,02/28/2018 03:56:25 PM,41.978581365,-87.695322514,(41.978581365, -87.695322514)
9199975,HW345286,07/02/2013 01:30:00 PM,006XX W ENGLEWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,0711,007,16,68,07,1173168,1863448,2013,02/10/2018 03:50:01 PM,41.780725757,-87.640678174,(41.780725757, -87.640678174)
